from,to,relation,style_override,label
c_hirohashi_tsunamitsu,n_hirohashi_tsunamitsu_daughter,biological_parent,bloodline_orange_dashed,
n_hirohashi_tsunamitsu_daughter,u_tsunamitsu_daughter_morimitsu,spouse_to_union,bloodline_orange_dashed,
c_hirohashi_morimitsu,u_tsunamitsu_daughter_morimitsu,spouse_to_union,,
u_tsunamitsu_daughter_morimitsu,c_hirohashi_kanehide,union_to_child,bloodline_orange_dashed,
c_hirohashi_kanehide,c_hirohashi_kunimitsu,biological_parent,bloodline_orange_dashed,
c_hirohashi_kunimitsu,c_hirohashi_kanekatsu,biological_parent,bloodline_orange_dashed,
c_hirohashi_kanekatsu,n_hirohashi_kanekatsu_daughter,biological_parent,bloodline_orange_dashed,
n_hirohashi_kanekatsu_daughter,u_kanekatsu_daughter_nobutaka,spouse_to_union,bloodline_orange_dashed,
c_higuchi_nobutaka,u_kanekatsu_daughter_nobutaka,spouse_to_union,,
u_kanekatsu_daughter_nobutaka,c_higuchi_nobuyasu,union_to_child,bloodline_orange_dashed,
c_higuchi_nobuyasu,c_higuchi_yasuhiro,biological_parent,bloodline_orange_dashed,
c_higuchi_yasuhiro,c_higuchi_motoyasu,biological_parent,bloodline_orange_dashed,
c_higuchi_motoyasu,n_higuchi_nobuko,biological_parent,bloodline_orange_dashed,
n_higuchi_nobuko,u_nobuko_harutaka,spouse_to_union,bloodline_orange_dashed,
c_nijo_harutaka,u_nobuko_harutaka,spouse_to_union,,
u_nobuko_harutaka,c_kujo_hisatada,union_to_child,bloodline_orange_dashed,
c_kujo_hisatada,c_kujo_michitaka,biological_parent,bloodline_orange_dashed,
c_kujo_michitaka,u_michitaka_ikuko,spouse_to_union,bloodline_orange_dashed,
n_noma_ikuko,u_michitaka_ikuko,spouse_to_union,,
u_michitaka_ikuko,n_sadako,union_to_child,bloodline_orange_dashed,
t056,p_sadazumi,biological_parent,bloodline_orange,
p_sadazumi,c_minamoto_tsunemoto,biological_parent,bloodline_orange,
c_minamoto_tsunemoto,c_minamoto_mitsunaka,biological_parent,bloodline_orange_dashed,
c_minamoto_mitsunaka,c_minamoto_yorimitsu,biological_parent,bloodline_orange_dashed,
c_minamoto_yorimitsu,c_minamoto_yorikuni,biological_parent,bloodline_orange_dashed,
c_minamoto_yorikuni,n_minamoto_yorikuni_daughter,biological_parent,bloodline_orange_dashed,
n_minamoto_yorikuni_daughter,u_yorikuni_daughter_tamefusa,spouse_to_union,bloodline_orange_dashed,
c_fujiwara_tamefusa,u_yorikuni_daughter_tamefusa,spouse_to_union,,
u_yorikuni_daughter_tamefusa,c_fujiwara_akitaka,union_to_child,bloodline_orange_dashed,
c_fujiwara_akitaka,c_fujiwara_akiyori,biological_parent,bloodline_orange_dashed,
c_fujiwara_akiyori,n_fujiwara_yuko,biological_parent,bloodline_orange_dashed,
n_fujiwara_yuko,u_yuko_tokinobu,spouse_to_union,bloodline_orange_dashed,
c_taira_tokinobu,u_yuko_tokinobu,spouse_to_union,,
u_yuko_tokinobu,n_taira_shigeko,union_to_child,bloodline_orange_dashed,
n_taira_shigeko,u_goshirakawa_shigeko,spouse_to_union,bloodline_orange,
t077,u_goshirakawa_shigeko,spouse_to_union,,
u_goshirakawa_shigeko,t080,union_to_child,,
t070,u_goreizei_masumori_daughter,spouse_to_union,bloodline_orange_dashed,
n_sugawara_masumori_daughter,u_goreizei_masumori_daughter,spouse_to_union,,
u_goreizei_masumori_daughter,c_takashina_tameyuki,union_to_child,bloodline_orange_dashed,
c_takashina_tameie,c_takashina_tameyuki,adoption,yushi,高階氏側で養育・系譜上の父
c_takashina_tameyuki,n_takashina_tameyuki_daughter,biological_parent,bloodline_orange_dashed,
n_takashina_tameyuki_daughter,u_tameyuki_daughter_kiyotsuna,spouse_to_union,bloodline_orange_dashed,
c_fujiwara_kiyotsuna,u_tameyuki_daughter_kiyotsuna,spouse_to_union,,
u_tameyuki_daughter_kiyotsuna,c_fujiwara_tadakiyo,union_to_child,bloodline_orange_dashed,
c_fujiwara_tadakiyo,n_fujiwara_tadakiyo_daughter,biological_parent,bloodline_orange_dashed,
n_fujiwara_tadakiyo_daughter,u_tadakiyo_daughter_tameyoshi,spouse_to_union,bloodline_orange_dashed,
c_minamoto_tameyoshi,u_tadakiyo_daughter_tameyoshi,spouse_to_union,,
u_tadakiyo_daughter_tameyoshi,c_minamoto_yoshitomo,union_to_child,bloodline_orange_dashed,
c_minamoto_yoshitomo,n_bomon_hime,biological_parent,bloodline_orange_dashed,
n_bomon_hime,u_bomon_yoshiyasu,spouse_to_union,bloodline_orange_dashed,
c_ichijo_yoshiyasu,u_bomon_yoshiyasu,spouse_to_union,,
u_bomon_yoshiyasu,n_ichijo_masako,union_to_child,bloodline_orange_dashed,
n_ichijo_masako,u_masako_kintsune,spouse_to_union,bloodline_orange_dashed,
c_saionji_kintsune,u_masako_kintsune,spouse_to_union,,
u_masako_kintsune,c_saionji_saneuji,union_to_child,bloodline_orange_dashed,
c_saionji_saneuji,u_saneuji_sadako,spouse_to_union,bloodline_orange_dashed,
n_shijo_sadako,u_saneuji_sadako,spouse_to_union,,
u_saneuji_sadako,n_saionji_kisshi,union_to_child,bloodline_orange_dashed,
t088,u_gosaga_kisshi,spouse_to_union,,
n_saionji_kisshi,u_gosaga_kisshi,spouse_to_union,bloodline_orange,
u_gosaga_kisshi,t089,union_to_child,,
u_gosaga_kisshi,t090,union_to_child,bloodline_orange,
p_kazuko,u_kazuko_toshimichi,spouse_to_union,,
c_takatsukasa_toshimichi,u_kazuko_toshimichi,spouse_to_union,,
p_atsuko,u_atsuko_takamasa,spouse_to_union,,
c_ikeda_takamasa,u_atsuko_takamasa,spouse_to_union,,
p_takako,u_takako_hisanaga,spouse_to_union,,
c_shimazu_hisanaga,u_takako_hisanaga,spouse_to_union,,
p_sayako,u_sayako_yoshiki,spouse_to_union,,
c_kuroda_yoshiki,u_sayako_yoshiki,spouse_to_union,,
p_mako,u_mako_kei,spouse_to_union,,
c_komuro_kei,u_mako_kei,spouse_to_union,,
p_noriko,u_noriko_kunimaro,spouse_to_union,,
c_senge_kunimaro,u_noriko_kunimaro,spouse_to_union,,
p_ayako,u_ayako_kei,spouse_to_union,,
c_moriya_kei,u_ayako_kei,spouse_to_union,,
u_mikasa_yuriko,p_yasuko_mikasa,union_to_child,,
u_mikasa_yuriko,p_masako_mikasa,union_to_child,,
p_yasuko_mikasa,u_yasuko_tadateru,spouse_to_union,,
c_konoe_tadateru,u_yasuko_tadateru,spouse_to_union,,
p_masako_mikasa,u_masako_soshitsu,spouse_to_union,,
c_sen_soshitsu,u_masako_soshitsu,spouse_to_union,,
kuni_002,higashifushimi_002,biological_parent,,
higashifushimi_001,higashifushimi_002,yushi,,実子同然に養育・宮家祭祀継承
higashifushimi_002,higashifushimi_003,biological_parent,,
higashifushimi_003,higashifushimi_004,biological_parent,,
